dataset,model,lambda,rp3_beta,graph_source,normalise,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,1000.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,1000.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,0.1,overall,5957,0.11358550741182454,0.08902975562387798,0.5059593755245929,0.13034597334706205,0.15411449406752,0.6800402887359409
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,0.1,q1,5787,0.12544483380212976,0.12352715892024341,0.5106272680145153,0.14964983595722664,0.20789675400260496,0.6844651805771557
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,0.1,q2,4520,0.006808539064216714,0.012895874359249732,0.02831858407079646,0.012245970157002982,0.03029953632086853,0.06924778761061946
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,0.1,q3,3059,0.0015230947030046155,0.003541462351531001,0.005884275907159202,0.002723348265683257,0.0076659038901601825,0.011114743380189604
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,0.1,q4,1767,0.0,0.0,0.0,0.00022177074242557679,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,0.1,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,0.3,overall,5957,0.11412472570107775,0.08911745724719775,0.5057915057915058,0.13066772529070597,0.1538441114160547,0.6797045492697666
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,0.3,q1,5787,0.1261810332864778,0.12411464375725523,0.5109728702263695,0.15012739497580813,0.20801922266154646,0.6841195783653016
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,0.3,q2,4520,0.006642429218581837,0.012282044756612216,0.027876106194690265,0.012200230733915081,0.030196676459159105,0.06769911504424779
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,0.3,q3,3059,0.001418203750474114,0.003214558134466601,0.005557371690094802,0.002624282762272549,0.007338999673095783,0.010787839163125205
ml-1m,Laplacian-EASE,500,0.3,rp3beta,none,0.3,q4,1767,0.0,0.0,0.0,0.00021745665873399916,0.0008488964346349745,0.0011318619128466328
