dataset,lambda,rp3_beta,rp3_topK,graph_source,normalise,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,NDCG@20,MAP@20,HitRate@20,Recall@20,NDCG@k,MAP@k,HitRate@k,Recall@k,wilcoxon_stat_vs_EASE,wilcoxon_p_vs_EASE,wilcoxon_n_pairs_vs_EASE
ml-1m,100,0.3,200,rp3beta,sym,500.0,127.6775381565094,0.11225622110532797,0.05575593202109026,0.46969951317777403,0.06689844756576412,0.11741425284318859,0.048448626813764765,0.6001342957864697,0.1087782951497656,0.11225622110532797,0.05575593202109026,0.46969951317777403,0.06689844756576412,3302912.0,0.008666012954226216,5957
ml-1m,100,0.3,200,rp3beta,sym,1000.0,127.63330411911011,0.10504942742854019,0.051609348685102904,0.44300822561692127,0.06087494726921235,0.10948466086091647,0.04413676376897838,0.5727715292932685,0.10052353923984175,0.10504942742854019,0.051609348685102904,0.44300822561692127,0.06087494726921235,3391686.5,0.31978022870161615,5957
ml-1m,100,0.6,200,rp3beta,sym,0.1,127.12546420097351,0.10763300591522855,0.05036783120319796,0.5015947624643277,0.08661013224262046,0.12355982362955382,0.048873335418834575,0.674668457277153,0.14634157501335082,0.10763300591522855,0.05036783120319796,0.5015947624643277,0.08661013224262046,307532.5,2.0363677774850267e-05,5957
ml-1m,100,0.6,200,rp3beta,sym,0.3,128.3560333251953,0.10882203773281823,0.05121723658842854,0.5020983716635891,0.08733468620498606,0.12488495976647285,0.04962386572655542,0.6768507638072856,0.147918139512221,0.10882203773281823,0.05121723658842854,0.5020983716635891,0.08733468620498606,821881.0,1.29556937797789e-08,5957
ml-1m,100,0.6,200,rp3beta,sym,1.0,127.28305673599243,0.11151225777637493,0.05300386926200295,0.5047842873929831,0.08888821519428745,0.1276921451407878,0.051172776644105446,0.6773543730065469,0.15140749107606033,0.11151225777637493,0.05300386926200295,0.5047842873929831,0.08888821519428745,1403748.0,1.8232092567448443e-12,5957
ml-1m,100,0.6,200,rp3beta,sym,3.0,127.57781410217285,0.11451744361837427,0.05511537345961333,0.5067987241900286,0.08943294145794146,0.13093451217551844,0.05293447750394807,0.6800402887359409,0.15436891456347102,0.11451744361837427,0.05511537345961333,0.5067987241900286,0.08943294145794146,1831042.0,4.1880848696533184e-16,5957
ml-1m,100,0.6,200,rp3beta,sym,10.0,127.02375030517578,0.11760319418581912,0.05717628770867458,0.5094846399194225,0.08894179074446655,0.13330568604626705,0.05439837482132039,0.6781937216719826,0.15407838632123871,0.11760319418581912,0.05717628770867458,0.5094846399194225,0.08894179074446655,2155463.5,1.4293305539747083e-18,5957
ml-1m,100,0.6,200,rp3beta,sym,30.0,128.51846170425415,0.12026800639492058,0.05870312904381966,0.5128420345811651,0.08827883060161264,0.13375265468004793,0.05483333795526216,0.6724861507470203,0.148677451756993,0.12026800639492058,0.05870312904381966,0.5128420345811651,0.08827883060161264,2421182.0,5.193947646244654e-20,5957
ml-1m,100,0.6,200,rp3beta,sym,50.0,127.41936182975769,0.1205455614334466,0.059081689645871835,0.5084774215208998,0.08627664314554018,0.13364002994168492,0.05478949008074392,0.6684572771529294,0.14602027110872107,0.1205455614334466,0.059081689645871835,0.5084774215208998,0.08627664314554018,2547897.0,2.138489911649976e-18,5957
ml-1m,100,0.6,200,rp3beta,sym,75.0,127.37885642051697,0.1210756708395111,0.05925152111062345,0.5093167701863354,0.08451211870140153,0.13307621763479713,0.054602772085286,0.6640926640926641,0.1425352014934202,0.1210756708395111,0.05925152111062345,0.5093167701863354,0.08451211870140153,2645863.5,2.9783043089397036e-18,5957
