model,ease_lambda,rp3_beta,rp3_topK,gamma,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-GraphReg,500,0.6,200,0.5,1,q5,685,0.0071595869798114576,0.00948905109489051,0.010218978102189781,0.008460974247005402,0.014310411064156741,0.01897810218978102
Hybrid-GraphReg,500,0.6,200,1.0,1,overall,6006,0.3170125366478022,0.1992156064299166,0.8458208458208458,0.3242814784128159,0.3022201519003083,0.919080919080919
Hybrid-GraphReg,500,0.6,200,1.0,1,q1,5944,0.31777026149984056,0.24232080923151472,0.8280619111709286,0.3367285968584606,0.362932449816185,0.9071332436069987
Hybrid-GraphReg,500,0.6,200,1.0,1,q2,4502,0.031937200245780624,0.050099771865926075,0.13838294091514883,0.04806849933720314,0.09820035132710396,0.24722345624167036
Hybrid-GraphReg,500,0.6,200,1.0,1,q3,2861,0.017398374592226103,0.02915347854408187,0.06256553652569032,0.02476067281495557,0.052954814024935154,0.10730513806361412
Hybrid-GraphReg,500,0.6,200,1.0,1,q4,1641,0.008687940496509054,0.01604554935361552,0.025594149908592323,0.014173262059184222,0.03507081424441374,0.056672760511883
Hybrid-GraphReg,500,0.6,200,1.0,1,q5,685,0.014132569647743036,0.018811627609168907,0.024817518248175182,0.015422054306120732,0.023556153156614162,0.030656934306569343
Hybrid-GraphReg,200,0.6,200,0.01,2,overall,6004,0.34372003426421655,0.2154647929051077,0.8769153897401732,0.34694268837934567,0.3183650002476228,0.9363757495003331
Hybrid-GraphReg,200,0.6,200,0.01,2,q1,5935,0.3600609937823012,0.2746411360691855,0.8786857624262847,0.3766910186338621,0.4000273224039017,0.9361415332771693
Hybrid-GraphReg,200,0.6,200,0.01,2,q2,4474,0.01747298330239603,0.030050849524892648,0.07532409476978096,0.029573866704380072,0.0658752925798059,0.170317389360751
Hybrid-GraphReg,200,0.6,200,0.01,2,q3,2899,0.003570565333699629,0.007718589332939109,0.011728182131769576,0.006388552883668635,0.016752245311228497,0.03001034839599862
