model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Score,0.5,200,0.6,200,1,q3,2861,0.003071535777110316,0.006946871723173716,0.01048584411045089,0.005721794732091752,0.01635014952036972,0.02411744145403705
Hybrid-Score,0.5,200,0.6,200,1,q4,1641,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506,0.0005836494806205768,0.0018281535648994515,0.002437538086532602
Hybrid-Score,0.5,200,0.6,200,1,q5,685,0.000899992514525124,0.00291970802919708,0.00291970802919708,0.000899992514525124,0.00291970802919708,0.00291970802919708
Hybrid-Score,0.7,200,0.6,200,1,overall,6006,0.35780426335629767,0.2199659009982805,0.875957375957376,0.3584936907548403,0.32221193163061296,0.9324009324009324
Hybrid-Score,0.7,200,0.6,200,1,q1,5944,0.37748622797189363,0.28230933434115313,0.876514131897712,0.39249120929068626,0.40858112338550895,0.9322005383580081
Hybrid-Score,0.7,200,0.6,200,1,q2,4502,0.01316574594130705,0.023967374014867527,0.04864504664593514,0.02420518689167232,0.05711994633995072,0.12483340737450022
Hybrid-Score,0.7,200,0.6,200,1,q3,2861,0.0029775815770740044,0.006842013282069207,0.009786787836420832,0.005907155758753391,0.01692728705136954,0.026214610276127228
Hybrid-Score,0.7,200,0.6,200,1,q4,1641,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506,0.00043647987330062944,0.001218769043266301,0.0018281535648994515
Hybrid-Score,0.7,200,0.6,200,1,q5,685,0.00043945984768464406,0.00145985401459854,0.00145985401459854,0.0007772382610565551,0.00291970802919708,0.00291970802919708
Hybrid-Score,0.3,500,0.3,200,1,overall,6006,0.3569553080808185,0.21873490243551472,0.8722943722943723,0.35480650771084316,0.31800633477906604,0.9312354312354313
Hybrid-Score,0.3,500,0.3,200,1,q1,5944,0.3803946972826492,0.28469929378836706,0.8758411843876177,0.3946163058612799,0.4105369286468165,0.9342193808882907
Hybrid-Score,0.3,500,0.3,200,1,q2,4502,0.006504686819172571,0.01302269538053634,0.023767214571301643,0.011375524096349395,0.02915924035981788,0.04864504664593514
Hybrid-Score,0.3,500,0.3,200,1,q3,2861,0.001005138738944123,0.0020389141325876732,0.0027962250961202375,0.0026134818616856082,0.00788768495863917,0.010136315973435861
Hybrid-Score,0.3,500,0.3,200,1,q4,1641,0.00011787105643953127,0.0003046922608165753,0.0006093845216331506,0.00011787105643953127,0.0003046922608165753,0.0006093845216331506
Hybrid-Score,0.3,500,0.3,200,1,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,500,0.3,200,1,overall,6006,0.3657975492438376,0.223299075139516,0.8772893772893773,0.36488536931869725,0.3264655063361891,0.9329004329004329
Hybrid-Score,0.5,500,0.3,200,1,q1,5944,0.3887126804153953,0.29006962719820234,0.8800471063257066,0.40382715817690407,0.4196587091214761,0.9348923283983849
Hybrid-Score,0.5,500,0.3,200,1,q2,4502,0.008497249739905281,0.016269496705969385,0.03154153709462461,0.016120279786180896,0.04097863506488912,0.07441137272323411
Hybrid-Score,0.5,500,0.3,200,1,q3,2861,0.001072369589392008,0.002213678201095188,0.0031457532331352674,0.0033467268215209246,0.010386811138296634,0.013981125480601188
Hybrid-Score,0.5,500,0.3,200,1,q4,1641,0.000124547469584696,0.0003046922608165753,0.0006093845216331506,0.0002632861951769891,0.0009140767824497258,0.001218769043266301
