dataset,seed,family,alpha,n_iter,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,2,Retrofit,20.0,10,131.31307744979858,0.34118863807077837,0.20814843982507503,0.8724183877415057,0.21262121402947878,0.32435597189695553,0.7534276186513444,2.472037066224238,0.34442166770574556,0.18472473629899466,0.9372085276482345,0.31732853883176576,0.428864168618267,0.7480170557512285,2.6540386403046208,0.34118863807077837,0.20814843982507503,0.8724183877415057,0.21262121402947878,0.32435597189695553,0.7534276186513444,2.472037066224238,3980489.0,2.1722144141467117e-52,6004,-1,-0.017676067080950805,0.0
ml-1m,2,Retrofit,50.0,3,128.65641140937805,0.3547600955542313,0.2203082378082874,0.8782478347768155,0.21950374866860425,0.3120608899297424,0.7533720796517145,2.4124813839375436,0.3579001300606945,0.19655371213086525,0.9385409726848768,0.326590749219123,0.4092505854800937,0.7492073477004839,2.5830465707862174,0.3547600955542313,0.2203082378082874,0.8782478347768155,0.21950374866860425,0.3120608899297424,0.7533720796517145,2.4124813839375436,3665665.5,3.6566642498013654e-08,6004,-1,-0.0041046095974977635,0.0
ml-1m,2,Retrofit,50.0,5,129.71504259109497,0.35479247283047183,0.2203430911159588,0.8782478347768155,0.219513326073372,0.31176814988290397,0.7531540788144369,2.4124737369888747,0.35789314400350736,0.19655587675404596,0.9385409726848768,0.32657326294446404,0.4092505854800937,0.7492152346694956,2.5830037135652035,0.35479247283047183,0.2203430911159588,0.8782478347768155,0.219513326073372,0.31176814988290397,0.7531540788144369,2.4124737369888747,3665285.5,5.445474221296982e-08,6004,-1,-0.004072232321257279,0.0
ml-1m,2,Retrofit,50.0,10,132.81463813781738,0.3547918178171203,0.2203413462474584,0.8782478347768155,0.219513326073372,0.31176814988290397,0.7531540788144369,2.4124737369888747,0.3578927212792775,0.19655500431979572,0.9385409726848768,0.32657326294446404,0.4092505854800937,0.749212792330149,2.5830109564099986,0.3547918178171203,0.2203413462474584,0.8782478347768155,0.219513326073372,0.31176814988290397,0.7531540788144369,2.4124737369888747,3664917.0,5.295304150269475e-08,6004,-1,-0.004072887334608808,0.0
ml-1m,2,Retrofit,100.0,3,130.0773777961731,0.357763095236046,0.22339674779465912,0.878580946035976,0.22088602577991875,0.3126463700234192,0.7574208954330073,2.3967410896317674,0.3608701190530992,0.1993621394595411,0.9393737508327782,0.3284898104486681,0.40485948477751754,0.751034174373026,2.564381561248697,0.357763095236046,0.22339674779465912,0.878580946035976,0.22088602577991875,0.3126463700234192,0.7574208954330073,2.3967410896317674,2626682.5,0.07266428366920362,6004,-1,-0.001101609915683235,0.0
ml-1m,2,Retrofit,100.0,5,130.93754649162292,0.3577531836146617,0.22339193618758235,0.878580946035976,0.22087321380841257,0.3126463700234192,0.7574127236024923,2.396758171124307,0.36087038396895305,0.199362342480362,0.9393737508327782,0.3284898104486681,0.40485948477751754,0.7510292608013074,2.5643901125065476,0.3577531836146617,0.22339193618758235,0.878580946035976,0.22087321380841257,0.3126463700234192,0.7574127236024923,2.396758171124307,2623707.5,0.06876705149850713,6004,-1,-0.0011115215370675528,0.0
ml-1m,2,Retrofit,100.0,10,132.8630874156952,0.3577531836146617,0.22339193618758235,0.878580946035976,0.22087321380841257,0.3126463700234192,0.7574127236024923,2.396758171124307,0.36087038396895305,0.199362342480362,0.9393737508327782,0.3284898104486681,0.40485948477751754,0.7510292608013074,2.5643901125065476,0.3577531836146617,0.22339193618758235,0.878580946035976,0.22087321380841257,0.3126463700234192,0.7574127236024923,2.396758171124307,2623707.5,0.06876705149850713,6004,-1,-0.0011115215370675528,0.0
ml-1m,3,EASE,0.0,0,131.95151090621948,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611,0.4016393442622951,0.7525223895359858,2.551157214359107,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,,,0,0,,
ml-1m,3,Retrofit,5.0,3,128.86844944953918,0.2668592904547146,0.149892154279652,0.8085814069516049,0.1677572930420129,0.3597775175644028,0.7473053028446504,2.8257042566790354,0.26145838925740145,0.12761799821202985,0.8812572759022119,0.23890361082289194,0.4798009367681499,0.7405676555788674,3.1304413440562695,0.2668592904547146,0.149892154279652,0.8085814069516049,0.1677572930420129,0.3597775175644028,0.7473053028446504,2.8257042566790354,2398097.5,0.0,6013,-1,-0.0902029694118793,-0.061737482489735915
ml-1m,3,Retrofit,5.0,5,131.03693103790283,0.2692655883010762,0.15144564629474805,0.8114086146682189,0.1698952712214198,0.36007025761124123,0.7472162617851026,2.814914644519845,0.2635861037995066,0.12906561770366304,0.8824214202561118,0.24101797622281737,0.48155737704918034,0.7402345070988541,3.120254165693414,0.2692655883010762,0.15144564629474805,0.8114086146682189,0.1698952712214198,0.36007025761124123,0.7472162617851026,2.814914644519845,2437237.0,0.0,6013,-1,-0.08779667156551778,-0.057981087024378014
