dataset,seed,model,w_source,gamma,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k
ml-1m,1,GS-EASE,rp3beta,10.0,sym,0.4357635974884033,0.36248570291048376,0.23088775896669886,0.8707958707958708,0.21798253520500435,0.2374121779859485,0.7842027680498702,2.2067782901767754,0.3612446689970887,0.20318443770660322,0.9277389277389277,0.3201959163590968,0.3094262295081967,0.7675626643933171,2.3773911202424687,0.36248570291048376,0.23088775896669886,0.8707958707958708,0.21798253520500435,0.2374121779859485,0.7842027680498702,2.2067782901767754
ml-1m,1,Lap-EASE,p3alpha,1.0,sym,0.433596134185791,0.36585521112174896,0.2318292323543174,0.8781218781218781,0.22377211638773248,0.2933255269320843,0.7633156264892793,2.3493810678559996,0.36705211256716636,0.20594749992714684,0.9352314352314353,0.3299767129438708,0.38231850117096017,0.7554497442322865,2.5180358723336056,0.36585521112174896,0.2318292323543174,0.8781218781218781,0.22377211638773248,0.2933255269320843,0.7633156264892793,2.3493810678559996
ml-1m,1,GS-EASE,p3alpha,1.0,sym,0.33972883224487305,0.3657503569316469,0.2317784519010426,0.8784548784548785,0.22349774684699522,0.2939110070257611,0.7620863863891751,2.3532143613675633,0.367076874970887,0.20597602818652533,0.935064935064935,0.32999477656109805,0.38231850117096017,0.7541827748565881,2.5214924909285266,0.3657503569316469,0.2317784519010426,0.8784548784548785,0.22349774684699522,0.2939110070257611,0.7620863863891751,2.3532143613675633
ml-1m,1,Lap-EASE,p3alpha,3.0,sym,0.4677393436431885,0.36715486858743956,0.23342983604746645,0.8764568764568764,0.22346763687307136,0.26639344262295084,0.7666286826726387,2.296138175352973,0.36754523841708125,0.20698209870340536,0.935064935064935,0.3290136785425362,0.3521662763466042,0.758199240493505,2.466855199855256,0.36715486858743956,0.23342983604746645,0.8764568764568764,0.22346763687307136,0.26639344262295084,0.7666286826726387,2.296138175352973
ml-1m,1,GS-EASE,p3alpha,3.0,sym,0.3471095561981201,0.3677361556789768,0.23376158039281622,0.8776223776223776,0.22402784059262953,0.26639344262295084,0.7619113487245355,2.306757873162158,0.3682134037666672,0.207389493305266,0.9353979353979354,0.3297506470905106,0.3515807962529274,0.7545488095030144,2.4756614872346026,0.3677361556789768,0.23376158039281622,0.8776223776223776,0.22402784059262953,0.26639344262295084,0.7619113487245355,2.306757873162158
ml-1m,1,Lap-EASE,p3alpha,10.0,sym,0.4668281078338623,0.36317558953051954,0.23148080325234519,0.86996336996337,0.21840415088632853,0.2259953161592506,0.7816551755670926,2.190620218062002,0.3615239159001672,0.20348395507086137,0.9274059274059274,0.32005650472565333,0.29830210772833726,0.7665261627479489,2.361149385426315,0.36317558953051954,0.23148080325234519,0.86996336996337,0.21840415088632853,0.2259953161592506,0.7816551755670926,2.190620218062002
ml-1m,1,GS-EASE,p3alpha,10.0,sym,0.3396937847137451,0.36486985184731435,0.23277172707090504,0.8714618714618715,0.21977107214346428,0.22804449648711944,0.7707722743666261,2.2187828455724903,0.36379176971874544,0.20512142129670496,0.9300699300699301,0.32249870856395313,0.29713114754098363,0.7545350872444467,2.389070525711507,0.36486985184731435,0.23277172707090504,0.8714618714618715,0.21977107214346428,0.22804449648711944,0.7707722743666261,2.2187828455724903
ml-1m,1,Lap-EASE,itemknn,1.0,sym,0.4330768585205078,0.3658476514112087,0.23192979288075655,0.8777888777888778,0.22349126969294883,0.2968384074941452,0.7649046548454834,2.3514928804406967,0.36727001635583895,0.20605947217446233,0.9358974358974359,0.3302229124570452,0.38495316159250587,0.7560842706089854,2.5199758893407522,0.3658476514112087,0.23192979288075655,0.8777888777888778,0.22349126969294883,0.2968384074941452,0.7649046548454834,2.3514928804406967
ml-1m,1,GS-EASE,itemknn,1.0,sym,0.3408515453338623,0.2788059805088296,0.15995803542430526,0.8175158175158175,0.17277140014663772,0.5175644028103045,0.6891327187141667,2.9045418487479107,0.28463297020347356,0.14195495877686307,0.8967698967698968,0.26458909600335895,0.6042154566744731,0.69841911964005,2.993542172809046,0.2788059805088296,0.15995803542430526,0.8175158175158175,0.17277140014663772,0.5175644028103045,0.6891327187141667,2.9045418487479107
ml-1m,1,Lap-EASE,itemknn,3.0,sym,0.462888240814209,0.36720449753960754,0.23346034282967387,0.8762903762903763,0.22342211407008084,0.272248243559719,0.7690806326290198,2.300656155817036,0.36763538239965626,0.20701314730331796,0.9345654345654346,0.32901369243400597,0.3588992974238876,0.7605088630781942,2.471045848118774,0.36720449753960754,0.23346034282967387,0.8762903762903763,0.22342211407008084,0.272248243559719,0.7690806326290198,2.300656155817036
