dataset,seed,model,w_source,gamma,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k
ml-1m,1,Lap-EASE,itemknn,3.0,sym,0.7562100887298584,0.3672840298557243,0.2335218162202289,0.8762903762903763,0.2234307058356372,0.27693208430913346,0.7681393659194928,2.3115343916032574,0.36815650983912895,0.20724705350757588,0.9352314352314353,0.329896382463988,0.36533957845433257,0.7601648751889136,2.4817745723306226,0.3672840298557243,0.2335218162202289,0.8762903762903763,0.2234307058356372,0.27693208430913346,0.7681393659194928,2.3115343916032574
ml-1m,1,GS-EASE,itemknn,3.0,sym,0.5542492866516113,0.2059037554325681,0.10790914319471576,0.7201132201132201,0.12466543889194587,0.5544496487119438,0.6514810251346683,3.1241691946988857,0.21294342892290663,0.09491771545884674,0.8286713286713286,0.19889730310892872,0.6405152224824356,0.6703967041489893,3.1713156981193973,0.2059037554325681,0.10790914319471576,0.7201132201132201,0.12466543889194587,0.5544496487119438,0.6514810251346683,3.1241691946988857
ml-1m,1,Lap-EASE,itemknn,10.0,sym,0.7509760856628418,0.362524967772306,0.23094746140522782,0.868964368964369,0.21798982945554535,0.2423887587822014,0.780167658428528,2.225266569352041,0.3614398675339157,0.2032233760279033,0.9277389277389277,0.3204385179334655,0.32142857142857145,0.7684238651451767,2.3947098693850095,0.362524967772306,0.23094746140522782,0.868964368964369,0.21798982945554535,0.2423887587822014,0.780167658428528,2.225266569352041
ml-1m,1,GS-EASE,itemknn,10.0,sym,0.5642075538635254,0.19523780120960482,0.10066082635031048,0.7082917082917083,0.11741244974168157,0.5415690866510539,0.6395763695763697,3.2055389123781843,0.20263573345843197,0.08853018025571774,0.8175158175158175,0.18975009368276435,0.6229508196721312,0.6550468954604292,3.2433019511633923,0.19523780120960482,0.10066082635031048,0.7082917082917083,0.11741244974168157,0.5415690866510539,0.6395763695763697,3.2055389123781843
ml-1m,2,EASE,,0.0,,134.20845460891724,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414
ml-1m,2,Lap-EASE,rp3beta,0.3,sym,0.802842378616333,0.36104801600985664,0.22640723293104842,0.8800799467021986,0.22237247419074907,0.30357142857142855,0.7584619896603806,2.3754534635906244,0.3639793395501072,0.20211159687496022,0.9383744170552965,0.33046040415794664,0.39549180327868855,0.7536953775203405,2.54094833714699,0.36104801600985664,0.22640723293104842,0.8800799467021986,0.22237247419074907,0.30357142857142855,0.7584619896603806,2.3754534635906244
ml-1m,2,GS-EASE,rp3beta,0.3,sym,0.5442886352539062,0.3610590039851473,0.22641278478536775,0.8800799467021986,0.22237247419074907,0.30357142857142855,0.7584541196258103,2.375468949419389,0.36399692080943524,0.20211994086363347,0.9383744170552965,0.33048122361164417,0.39549180327868855,0.7536830491983879,2.540960470628137,0.3610590039851473,0.22641278478536775,0.8800799467021986,0.22237247419074907,0.30357142857142855,0.7584541196258103,2.375468949419389
ml-1m,2,Lap-EASE,rp3beta,1.0,sym,0.7559123039245605,0.3638667614731713,0.22929996905460187,0.8814123917388408,0.2233331963104767,0.2962529274004684,0.7621958220211558,2.355558715591036,0.3660514121253881,0.20415968456107453,0.9390406395736176,0.33151345635457385,0.38524590163934425,0.7556796735307161,2.521631379462097,0.3638667614731713,0.22929996905460187,0.8814123917388408,0.2233331963104767,0.2962529274004684,0.7621958220211558,2.355558715591036
ml-1m,2,GS-EASE,rp3beta,1.0,sym,0.5605015754699707,0.3638554753853243,0.22928394798928034,0.8814123917388408,0.2233368076263741,0.2962529274004684,0.7621797589485797,2.3556014684773334,0.3660484245307956,0.20415235622612515,0.9390406395736176,0.3315193391848238,0.3855386416861827,0.7558252357198465,2.5217342686312305,0.3638554753853243,0.22928394798928034,0.8814123917388408,0.2233368076263741,0.2962529274004684,0.7621797589485797,2.3556014684773334
ml-1m,2,Lap-EASE,rp3beta,3.0,sym,0.760486364364624,0.36565453291996997,0.23168338855917672,0.8805796135909394,0.22302854143979028,0.2781030444964871,0.7678523791156773,2.3138744642344595,0.3667434762940376,0.20548762486793323,0.9370419720186542,0.3301162152912625,0.36065573770491804,0.7571717610337698,2.4824296488444126,0.36565453291996997,0.23168338855917672,0.8805796135909394,0.22302854143979028,0.2781030444964871,0.7678523791156773,2.3138744642344595
