dataset,seed,model,w_source,gamma,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,3,GS-EASE,itemknn,10.0,sym,overall,6013,0.19370607173907825,0.11610736358616157,0.6923332778978879,0.20069350282078924,0.1892667098639893,0.8109096956594046
ml-1m,3,GS-EASE,itemknn,10.0,sym,q1,5943,0.18010653599299972,0.1370789446782148,0.6594312636715464,0.1950910901152312,0.2193558327148233,0.7837792360760558
ml-1m,3,GS-EASE,itemknn,10.0,sym,q2,4400,0.046579324753459564,0.06300802793542236,0.1943181818181818,0.06151222359371422,0.10928585260131833,0.3040909090909091
ml-1m,3,GS-EASE,itemknn,10.0,sym,q3,2896,0.012559446531234995,0.020990364987950868,0.05421270718232044,0.02026785276042887,0.04520701489334289,0.10773480662983426
ml-1m,3,GS-EASE,itemknn,10.0,sym,q4,1678,0.0032425415966890665,0.005494068902888926,0.010727056019070322,0.005457789280844824,0.01273012347207818,0.02264600715137068
ml-1m,3,GS-EASE,itemknn,10.0,sym,q5,698,0.0020689411575263877,0.0057306590257879654,0.0057306590257879654,0.002175449991713841,0.005881884750079592,0.008595988538681949
ml-1m,4,EASE,,0.0,,overall,6006,0.3602199710712781,0.22263170160415102,0.8736263736263736,0.36241559929929296,0.32716994336340544,0.9302364302364302
ml-1m,4,EASE,,0.0,,q1,5939,0.3802698067910618,0.28410241730312774,0.875736656002694,0.3974861059261437,0.4145021664985619,0.931133187405287
ml-1m,4,EASE,,0.0,,q2,4417,0.01313044221384553,0.025298925136798156,0.056146705908988,0.023172501832056325,0.05490141373994923,0.1353860086031243
ml-1m,4,EASE,,0.0,,q3,2931,0.002115727750993652,0.004821491885734164,0.007505970658478335,0.0038145550024703584,0.010397909667883778,0.018082565677243263
ml-1m,4,EASE,,0.0,,q4,1676,0.0006985399835327961,0.001392203659506762,0.0017899761336515514,0.0010587690582970083,0.002784407319013524,0.0029832935560859188
ml-1m,4,EASE,,0.0,,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,Lap-EASE,rp3beta,0.3,sym,overall,6006,0.36230950360228714,0.22358396208469103,0.8742923742923743,0.36412301744759423,0.328270661404138,0.9309024309024309
ml-1m,4,Lap-EASE,rp3beta,0.3,sym,q1,5939,0.38258064897992017,0.28552735574862154,0.8764101700623,0.39957351366414906,0.4163201469148957,0.932143458494696
ml-1m,4,Lap-EASE,rp3beta,0.3,sym,q2,4417,0.012940557181369149,0.025062677345648845,0.05456191985510527,0.02272405343816289,0.05388618259762129,0.1319900384876613
ml-1m,4,Lap-EASE,rp3beta,0.3,sym,q3,2931,0.0021051507166811646,0.004821491885734164,0.007505970658478335,0.0037367150620079225,0.010133900959658078,0.017741385192766974
ml-1m,4,Lap-EASE,rp3beta,0.3,sym,q4,1676,0.0006943779972796126,0.001392203659506762,0.0017899761336515514,0.0010493839222215232,0.002784407319013524,0.0029832935560859188
ml-1m,4,Lap-EASE,rp3beta,0.3,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,GS-EASE,rp3beta,0.3,sym,overall,6006,0.36232009647411517,0.22359321209394104,0.8742923742923743,0.36408939760807163,0.3281782439010062,0.9307359307359307
ml-1m,4,GS-EASE,rp3beta,0.3,sym,q1,5939,0.382591526182117,0.2855385809829483,0.8764101700623,0.39952441008994527,0.4161405798494398,0.9319750799797946
ml-1m,4,GS-EASE,rp3beta,0.3,sym,q2,4417,0.012940557181369149,0.025062677345648845,0.05456191985510527,0.022724880503181357,0.05388618259762129,0.1319900384876613
ml-1m,4,GS-EASE,rp3beta,0.3,sym,q3,2931,0.0021051507166811646,0.004821491885734164,0.007505970658478335,0.0037367150620079225,0.010133900959658078,0.017741385192766974
ml-1m,4,GS-EASE,rp3beta,0.3,sym,q4,1676,0.0006943779972796126,0.001392203659506762,0.0017899761336515514,0.0010493839222215232,0.002784407319013524,0.0029832935560859188
ml-1m,4,GS-EASE,rp3beta,0.3,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,Lap-EASE,rp3beta,1.0,sym,overall,6006,0.36508713489758776,0.2248267913272967,0.8747918747918748,0.3663473875528795,0.32967558806611524,0.9305694305694305
ml-1m,4,Lap-EASE,rp3beta,1.0,sym,q1,5939,0.3857909060263768,0.28735628292140786,0.8775888196666105,0.4024916062226533,0.41885572093224216,0.9319750799797946
ml-1m,4,Lap-EASE,rp3beta,1.0,sym,q2,4417,0.011885598137711223,0.02326421256254145,0.0491283676703645,0.02137304334840386,0.05119908277735762,0.12225492415666742
ml-1m,4,Lap-EASE,rp3beta,1.0,sym,q3,2931,0.002007189360986068,0.004707765057575401,0.007164790174002047,0.003436635138517734,0.009391427238678729,0.016376663254861822
ml-1m,4,Lap-EASE,rp3beta,1.0,sym,q4,1676,0.0006754022514832141,0.001392203659506762,0.0017899761336515514,0.000885860840309185,0.0021877486077963404,0.002386634844868735
ml-1m,4,Lap-EASE,rp3beta,1.0,sym,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,4,GS-EASE,rp3beta,1.0,sym,overall,6006,0.36508969051706563,0.2248267913272967,0.8747918747918748,0.3663490277808083,0.32968302110926256,0.9305694305694305
ml-1m,4,GS-EASE,rp3beta,1.0,sym,q1,5939,0.3857928890086791,0.28735628292140786,0.8775888196666105,0.40249419469104697,0.4188665970564105,0.9319750799797946
ml-1m,4,GS-EASE,rp3beta,1.0,sym,q2,4417,0.011885598137711223,0.02326421256254145,0.0491283676703645,0.02137327047751675,0.05119908277735762,0.12225492415666742
ml-1m,4,GS-EASE,rp3beta,1.0,sym,q3,2931,0.002007189360986068,0.004707765057575401,0.007164790174002047,0.003436635138517734,0.009391427238678729,0.016376663254861822
ml-1m,4,GS-EASE,rp3beta,1.0,sym,q4,1676,0.0006754022514832141,0.001392203659506762,0.0017899761336515514,0.000885860840309185,0.0021877486077963404,0.002386634844868735
