model,ease_lambda,rp3_beta,rp3_topK,gamma,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Hybrid-GraphReg,500,0.6,200,0.05,q2,0.014132755934006896,0.0005985479626998734,5,0.02525360088453473,0.0013424661740704064,5,0.06106205127497906,0.004032620763848268,5,0.025191130225977625,0.0006069152950878608,5,0.05837053348150669,0.0021473407090766192,5,0.1421728993318488,0.003726856992961784,5,4440.2,45.146428430164846,5
Hybrid-GraphReg,500,0.6,200,0.05,q3,0.002302043453661292,0.0005504194221209849,5,0.004902212028738483,0.0014890210259516361,5,0.007588871730165127,0.0020488096672561713,5,0.0046881794601550935,0.0005918101000341774,5,0.012756935422486773,0.0017914084104452463,5,0.021966486326986067,0.0026800635821608238,5,2896.4,24.795160818191906,5
Hybrid-GraphReg,500,0.6,200,0.05,q4,0.0006345209573613593,0.000304327090826299,5,0.0010840273159450607,0.0005342808515677018,5,0.0014570986627936004,0.0005458673237493823,5,0.0009288286505472474,0.0004253114467113857,5,0.0022076865342831225,0.0011033975016112151,5,0.002785215569846189,0.0008851246876901146,5,1647.8,38.15363678602605,5
Hybrid-GraphReg,500,0.6,200,0.05,q5,0.00022974707888508472,0.000513730086019056,5,0.000583941605839416,0.0013057331255473222,5,0.000583941605839416,0.0013057331255473222,5,0.0005321875083295843,0.000345682938774491,5,0.0017410652868744734,0.0006597679372467167,5,0.0017410652868744734,0.0006597679372467167,5,690.4,16.379865689315046,5
Hybrid-GraphReg,500,0.6,200,0.1,overall,0.3603826949462611,0.0022688204623819703,5,0.22263086293449982,0.0023522776811152513,5,0.8780509692901486,0.005200488137035917,5,0.36276534917806436,0.002610046749903214,5,0.32887108447126207,0.003183117704200828,5,0.9345827494099457,0.0059707242417929495,5,6007.4,3.4351128074635104,5
Hybrid-GraphReg,500,0.6,200,0.1,q1,0.3785617481394639,0.0019343973131777542,5,0.2842149068002115,0.0017838017659742914,5,0.8794515583000821,0.00517156472377583,5,0.3955241259306767,0.0023375881027127353,5,0.4149469646026357,0.0031755560974277078,5,0.9348960097000379,0.005167027580297275,5,5941.2,4.147288270665454,5
Hybrid-GraphReg,500,0.6,200,0.1,q2,0.015632236662130143,0.0006177721148756512,5,0.027348678182859427,0.001211723925280668,5,0.06691717870634939,0.0037890555591808973,5,0.02713858146088998,0.0005008165922581316,5,0.06164121037724185,0.001378679740549678,5,0.15149123947202806,0.0026812401529217092,5,4440.2,45.146428430164846,5
Hybrid-GraphReg,500,0.6,200,0.1,q3,0.0030181308122914823,0.0007001251119778695,5,0.0062954625569106425,0.0016193642187636282,5,0.01007937041533603,0.0023800606938591544,5,0.005618095263596969,0.0008099927264422749,5,0.01471926018381245,0.002382411590392185,5,0.02610982380034637,0.0030805146925104027,5,2896.4,24.795160818191906,5
Hybrid-GraphReg,500,0.6,200,0.1,q4,0.0007730135479518221,0.000375118646429424,5,0.0012842690476965765,0.0005583869723112897,5,0.0018173972759851994,0.0007312655415904943,5,0.0014206085331401634,0.0004646845664324061,5,0.0036655466780833963,0.0013997798919031768,5,0.004735492950530658,0.0008924979034353101,5,1647.8,38.15363678602605,5
Hybrid-GraphReg,500,0.6,200,0.1,q5,0.0008766856267944827,0.0008414450202349751,5,0.0017410652868744734,0.0006597679372467167,5,0.0017410652868744734,0.0006597679372467167,5,0.0010561571667303934,0.0007838704989693721,5,0.0024642813396034205,0.0012013184288491223,5,0.0026144314897535706,0.0012150311959732325,5,690.4,16.379865689315046,5
