dataset,lambda,rp3_beta,rp3_topK,graph_source,normalise,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,100,0.6,200,rp3beta,none,10.0,131.67551231384277,0.11702345889691013,0.057115778631972064,0.5067987241900286,0.08894105792650144,0.28550512445095166,0.7519542705629663,2.2797195554545238,0.13287779980682327,0.05451988810385715,0.6745005875440658,0.1537340905602678,0.36837481698389457,0.7467168389889065,2.44791884827996,0.11702345889691013,0.057115778631972064,0.5067987241900286,0.08894105792650144,0.28550512445095166,0.7519542705629663,2.2797195554545238,2165483.0,2.7990068519548925e-16,5957,1,0.010102388975514208,0.0
ml-1m,100,0.6,200,rp3beta,none,30.0,132.5688979625702,0.11967829871196696,0.058651884603156415,0.5062951149907672,0.08782868133298055,0.2295754026354319,0.7717632831208696,2.1199502347616823,0.13313976979645203,0.054817951843859965,0.6684572771529294,0.14801415367859416,0.29458272327964863,0.758258807070286,2.286926711803439,0.11967829871196696,0.058651884603156415,0.5062951149907672,0.08782868133298055,0.2295754026354319,0.7717632831208696,2.1199502347616823,2422815.0,4.341088794380458e-18,5957,1,0.012757228790571033,0.0
ml-1m,100,0.6,200,rp3beta,none,50.0,136.7229940891266,0.11980791792814999,0.058708335030429076,0.5047842873929831,0.08569670094809761,0.1979502196193265,0.7791047874659913,2.0322331612950317,0.13300176592604326,0.05459965444037596,0.6659392311566225,0.14506670810879144,0.2623718887262079,0.770733054899398,2.1943395300416904,0.11980791792814999,0.058708335030429076,0.5047842873929831,0.08569670094809761,0.1979502196193265,0.7791047874659913,2.0322331612950317,2589041.5,1.0887703221233153e-16,5957,1,0.012886848006754058,0.0
ml-1m,100,0.6,200,rp3beta,none,75.0,131.87377429008484,0.11988138361464036,0.05878319630316081,0.5029377203290247,0.08329468271061077,0.17306002928257685,0.7862851848285528,1.9545819678915366,0.13260170412329292,0.05430978076387217,0.6620782272956186,0.14291584600969898,0.2281112737920937,0.7747454747901252,2.1143700883801935,0.11988138361464036,0.05878319630316081,0.5029377203290247,0.08329468271061077,0.17306002928257685,0.7862851848285528,1.9545819678915366,2653068.0,7.690863540592568e-16,5957,1,0.01296031369324446,0.0
ml-1m,100,0.6,200,rp3beta,none,100.0,131.92415404319763,0.12033686033218684,0.058795487241583066,0.5062951149907672,0.08297204040483788,0.15256222547584186,0.788346876221365,1.8961759824837388,0.13174698917119163,0.05390474331906175,0.6595601812993117,0.13948297225203393,0.2087847730600293,0.7825710956572594,2.0543479236754667,0.12033686033218684,0.058795487241583066,0.5062951149907672,0.08297204040483788,0.15256222547584186,0.788346876221365,1.8961759824837388,2718610.0,4.65856916667674e-16,5957,1,0.013415790410790928,0.0
ml-1m,100,0.6,200,rp3beta,none,200.0,132.26189613342285,0.1186454783946251,0.058046648869260524,0.5029377203290247,0.07885487437737017,0.11185944363103953,0.8045235180222658,1.7397945128657875,0.12874741103183834,0.05265310409214973,0.6471378210508645,0.13128331000742732,0.15314787701317717,0.7947774217455821,1.8919198873718244,0.1186454783946251,0.058046648869260524,0.5029377203290247,0.07885487437737017,0.11185944363103953,0.8045235180222658,1.7397945128657875,2956406.0,6.0050546262456e-11,5957,1,0.011724408473229184,0.0
ml-1m,100,0.6,200,rp3beta,none,500.0,131.84857392311096,0.11326204582870704,0.05613471676138047,0.47255329864025514,0.06807265777387984,0.06061493411420205,0.8082449178857496,1.5373705779709022,0.11988695016518093,0.049278524526709,0.6130602652341782,0.1132919775626163,0.0849194729136164,0.7897319294020944,1.6902927344307574,0.11326204582870704,0.05613471676138047,0.47255329864025514,0.06807265777387984,0.06061493411420205,0.8082449178857496,1.5373705779709022,3231269.0,0.00112922536623678,5957,1,0.006340975907311127,0.0
ml-1m,100,0.6,200,rp3beta,none,1000.0,131.8424310684204,0.10761220234735283,0.05313011769533508,0.4487157965418835,0.06303609621613346,0.0424597364568082,0.8016180326825004,1.4554334086614664,0.11199864237480718,0.04560944610295675,0.5801577975491019,0.10254516567108907,0.06500732064421669,0.7938321484149922,1.6069612591398625,0.10761220234735283,0.05313011769533508,0.4487157965418835,0.06303609621613346,0.0424597364568082,0.8016180326825004,1.4554334086614664,3451489.0,0.7368538520999967,5957,1,0.0006911324259569005,0.0
ml-1m,500,0.3,200,rp3beta,none,0.1,132.19240927696228,0.11358550741182454,0.05456709445322281,0.5059593755245929,0.08902975562387798,0.346705710102489,0.7390959250756548,2.423578680912919,0.13034597334706205,0.052639745622536996,0.6800402887359409,0.15411449406752,0.4380673499267936,0.7337116648817414,2.596264064330654,0.11358550741182454,0.05456709445322281,0.5059593755245929,0.08902975562387798,0.346705710102489,0.7390959250756548,2.423578680912919,148909.5,0.013552526275444045,5957,1,0.00030171000238767546,0.0
ml-1m,500,0.3,200,rp3beta,none,0.3,132.29763531684875,0.11412472570107775,0.05500179635734944,0.5057915057915058,0.08911745724719775,0.34348462664714496,0.7385305401985043,2.419794360632092,0.13066772529070597,0.05288388415621658,0.6797045492697666,0.1538441114160547,0.43601756954612003,0.73498583366601,2.588976103889086,0.11412472570107775,0.05500179635734944,0.5057915057915058,0.08911745724719775,0.34348462664714496,0.7385305401985043,2.419794360632092,531125.5,8.66461521039865e-05,5957,1,0.0008409282916408852,0.0
