dataset,seed,model,dropout,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,2,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q2,4474,0.005116611977945962,0.010050348763444718,0.018328118015198926,0.009059126096406385,0.02227313938744428,0.04403218596334377
ml-1m,2,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q3,2899,0.0003693534876581858,0.0003832739258748228,0.0006898930665746809,0.0009879782603042053,0.0026062626959487945,0.0037944118661607453
ml-1m,2,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q4,1585,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,overall,6004,0.3540361031775489,0.20908093902242225,0.8622584943371085,0.3504392102705535,0.3080182560703251,0.9253830779480346
ml-1m,2,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q1,5935,0.3773982912749649,0.27390272423180034,0.8702611625947767,0.39078160566067927,0.4032987148921164,0.9322662173546756
ml-1m,2,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q2,4474,0.003678385283967195,0.007275330234067675,0.013857845328565042,0.007091180237324551,0.01814878273519701,0.03442109968708091
ml-1m,2,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q3,2899,0.0002176370312423103,0.00034494653328734045,0.00034494653328734045,0.0006285391760324717,0.0017438963627304433,0.003104518799586064
ml-1m,2,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q4,1585,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,overall,6004,0.33789266354254066,0.19605979894465664,0.8472684876748834,0.3328534326738377,0.28931993860534955,0.9103930712858095
ml-1m,2,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q1,5935,0.3604444455098165,0.2571864501822385,0.8559393428812131,0.3718858036463057,0.3801061896194831,0.918955349620893
ml-1m,2,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q2,4474,0.0018202244037765218,0.003526193669242395,0.0073759499329459095,0.0035735547526897435,0.009264196663615528,0.015645954403218598
ml-1m,2,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q3,2899,0.00011498217776244682,0.00034494653328734045,0.00034494653328734045,0.00022468443676533048,0.0006707293702809398,0.0013797861331493618
ml-1m,2,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q4,1585,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,3,EASE,0.0,0.0,,,overall,6013,0.35706225986659396,0.21893095713123753,0.8726093464160984,0.35794709456288604,0.3234195007622611,0.9248295360053218
ml-1m,3,EASE,0.0,0.0,,,q1,5943,0.3775981492066603,0.28245090118293675,0.8768298838970217,0.3934147537746468,0.4121176630744462,0.9276459700487969
ml-1m,3,EASE,0.0,0.0,,,q2,4400,0.013381095261004788,0.02393561338061657,0.060454545454545455,0.023523328930981996,0.054508267336010253,0.13045454545454546
ml-1m,3,EASE,0.0,0.0,,,q3,2896,0.0012368417580338948,0.0028117600631412786,0.004834254143646409,0.002928341513667897,0.008437746645619573,0.014157458563535912
ml-1m,3,EASE,0.0,0.0,,,q4,1678,0.0005550180183110073,0.0010429082240762813,0.0017878426698450535,0.0005550180183110073,0.0010429082240762813,0.0017878426698450535
ml-1m,3,EASE,0.0,0.0,,,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,3,EDLAE,0.75,0.0,,,overall,6013,0.35667746708109377,0.21214207951309347,0.8627972725760852,0.35493253666915686,0.31444110933292757,0.9210044902710793
ml-1m,3,EDLAE,0.75,0.0,,,q1,5943,0.38016053546322987,0.2780050812395498,0.8702675416456335,0.39478241956991267,0.4086537643965067,0.9276459700487969
ml-1m,3,EDLAE,0.75,0.0,,,q2,4400,0.006043945060083581,0.011625156949599062,0.022954545454545453,0.011070101728978713,0.027445180982274785,0.05568181818181818
ml-1m,3,EDLAE,0.75,0.0,,,q3,2896,0.00041039362242388744,0.0009125887924230465,0.0020718232044198894,0.0010769878829260224,0.0031570639305445935,0.0055248618784530384
ml-1m,3,EDLAE,0.75,0.0,,,q4,1678,0.00018800052251831273,0.0005959475566150178,0.0005959475566150178,0.00018800052251831273,0.0005959475566150178,0.0005959475566150178
ml-1m,3,EDLAE,0.75,0.0,,,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,3,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,overall,6013,0.3565459853032075,0.21213704753305665,0.8627972725760852,0.3547930505905206,0.3143877309260711,0.9208381839348079
ml-1m,3,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q1,5943,0.38003754516041327,0.27800095191259216,0.8702675416456335,0.3946481107904813,0.4086018755204013,0.9274777048628638
