dataset,seed,model,dropout,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,2,EASE,0.0,0.0,,,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE,0.5,0.0,,,overall,6004,0.36923515380574473,0.2249727788448523,0.8824117255163224,0.36803244791435624,0.3298069609260314,0.9363757495003331
ml-1m,2,EDLAE,0.5,0.0,,,q1,5935,0.391919319496949,0.29317686533572507,0.8879528222409435,0.4066439329429498,0.4247670186075467,0.9401853411962932
ml-1m,2,EDLAE,0.5,0.0,,,q2,4474,0.008985319468718417,0.01639231570787947,0.035985695127402774,0.016613098762873122,0.04040437742937543,0.08873491282968261
ml-1m,2,EDLAE,0.5,0.0,,,q3,2899,0.0012813530058167965,0.003123682495879805,0.004484304932735426,0.002071437665458707,0.005723648548760656,0.009313556398758192
ml-1m,2,EDLAE,0.5,0.0,,,q4,1585,0.0,0.0,0.0,0.0002970459474657896,0.0012618296529968455,0.0012618296529968455
ml-1m,2,EDLAE,0.5,0.0,,,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.5,0.01,rp3beta,none,overall,6004,0.3692482338359757,0.22508587441328742,0.882744836775483,0.36795382148391814,0.3295400946917677,0.9362091938707529
ml-1m,2,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q1,5935,0.3919716669475382,0.29336045650214493,0.8882898062342038,0.40657237229168974,0.4244628099076724,0.940016849199663
ml-1m,2,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q2,4474,0.008957773890675997,0.016336437299296545,0.035762181493071074,0.01657798342491178,0.04029262061220958,0.08851139919535092
ml-1m,2,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q3,2899,0.0012813530058167965,0.003123682495879805,0.004484304932735426,0.002072221911061068,0.005723648548760656,0.009313556398758192
ml-1m,2,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q4,1585,0.0,0.0,0.0,0.0002970459474657896,0.0012618296529968455,0.0012618296529968455
ml-1m,2,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.5,0.03,rp3beta,none,overall,6004,0.3691389187851981,0.22501856350760582,0.8829113924050633,0.36785007161847966,0.3293449084096869,0.9365423051299134
ml-1m,2,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q1,5935,0.3918658802614991,0.29327800131296794,0.888458298230834,0.40651605753059455,0.4243714873417831,0.9403538331929233
ml-1m,2,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q2,4474,0.008952009770841072,0.016336437299296545,0.035762181493071074,0.016514581906435698,0.04006504309361731,0.08806437192668753
ml-1m,2,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q3,2899,0.0012813530058167965,0.003123682495879805,0.004484304932735426,0.001972834878713139,0.005378702015473317,0.008623663332183512
ml-1m,2,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q4,1585,0.0,0.0,0.0,0.0002970459474657896,0.0012618296529968455,0.0012618296529968455
ml-1m,2,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.5,0.1,rp3beta,none,overall,6004,0.36896766284338844,0.22506596322340708,0.8832445036642238,0.36774573997849624,0.32936076730838715,0.9363757495003331
ml-1m,2,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q1,5935,0.3917712043650798,0.2936318894859032,0.8889637742207245,0.40643958240316314,0.4243731955560736,0.9401853411962932
ml-1m,2,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q2,4474,0.008971584781518686,0.016463027638605153,0.035762181493071074,0.016423765399396613,0.03992496887945017,0.08717031738936075
ml-1m,2,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q3,2899,0.0011816410960831338,0.0027787359625924646,0.004139358399448086,0.0019453963735510283,0.005329423939289411,0.008278716798896172
ml-1m,2,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q4,1585,0.0,0.0,0.0,0.000297281185948196,0.0012618296529968455,0.0012618296529968455
ml-1m,2,EDLAE-Laplacian,0.5,0.1,rp3beta,none,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.5,0.3,rp3beta,none,overall,6004,0.3686482760053011,0.224541319873759,0.8834110592938041,0.3675412964783134,0.3287175791221853,0.9352098600932711
ml-1m,2,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q1,5935,0.39157629985411624,0.2930513941561334,0.8891322662173546,0.4064634941165948,0.42395132432425825,0.9396798652064027
ml-1m,2,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q2,4474,0.008847173190139905,0.016104284249882098,0.03531515422440769,0.01617441913129531,0.03936937312949391,0.08448815377738042
ml-1m,2,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q3,2899,0.0010278139296120061,0.0023188072515426773,0.0034494653328734047,0.0018466845937855465,0.00498447740600207,0.00793377026560883
ml-1m,2,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q4,1585,0.0,0.0,0.0,0.00015130124073699147,0.0006309148264984228,0.0006309148264984228
ml-1m,2,EDLAE-Laplacian,0.5,0.3,rp3beta,none,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
